name,elev_ft,latitude,longitude,loc_updated
Hadley Mtn,2653,43.37689,-73.97089,no
Crane Mtn,3240,43.54489,-73.96248,no
Cat Mtn,1956,43.56883,-73.70794,no
Buck Mtn,2333,43.52028,-73.59598,no
Black Mtn,2640,43.60668,-73.53118,no
Treadway Mtn,2244,43.83495,-73.6196,no
Pharoah Mtn,2557,43.81852,-73.65791,no
Fivemile Mtn,2256,43.63958,-73.57737,no
Moxham Mtn,2464,43.75166,-73.99506,no
Snowy Mtn,3898,43.70016,-74.38679,no
Vanderwhacker,3409,43.89819,-74.09592,no
Peaked Mtn,2913,43.72883,-74.14883,no
Blue Mtn,3750,43.8723305,-74.40093,yes
Owls Head,2812,43.95433,-74.49854,no
Wakely Mtn,3766,43.73576,-74.51542,no
Ampersand Mtn,3352,44.23455,-74.20273,no
Mt Adams,3520,44.08688,-74.02557,no
Giant Nubble,2772,44.1467,-73.74458,no
First Brother,2986,44.1905,-73.83712,no
Pitchoff Mtn,3497,44.23746,-73.87748,no
Noonmark Mtn,3556,44.12872,-73.77245,no
Wright Peak,4580,44.15162,-73.97952,no
Hurricane Mtn,3678,44.23525,-73.7105,no
Indian Head,2664,44.11296,-73.82176,no
Bald Peak,3035,44.15982,-73.66562,no
Lyon Mtn,3829,44.70468,-73.86297,no
Poke-O-Moonshine,2180,44.40186,-73.51322,no
Jay Mtn,3576,44.31195,-73.66792,no
Catamount Mtn,3173,44.45939,-73.87233,no
Saint Regis Mtn,2874,44.40865,-74.32963,no
Flume Knob,2434,44.37337,-73.85952,no
Loon Lake Mtn,3328,44.55821,-74.15172,no
Snow Mtn,2362,44.1678,-73.79451,no
Owls Head Lookout,2490,44.18956,-73.669,no
Rooster Comb,2595,44.17254,-73.81153,no
Hopkins Mtn,3156,44.18345,-73.74914,no
Round Mtn,3084,44.13181,-73.75181,no
Blueberry Mtn,2897,44.21757,-73.81654,no
Goodnow Mtn,2690,43.96011,-74.20991,no
Chimney Mtn,2641,43.69313,-74.20971,no
