name,elev_m,elev_ft,longitude,latitude
Slide,1275,4184,-74.38595512386074,41.99917077484416
Hunter,1230,4034,-74.23043880824227,42.17699346388703
Black Dome,1217,3994,-74.1227765082685,42.270362643926426
Thomas Cole,1205,3953,-74.1351489070795,42.2709699657041
Blackhead,1201,3941,-74.10580691789025,42.26816017258985
Westkill,1189,3900,-74.28936081996937,42.16804304040716
Cornell,1176,3858,-74.35620576612511,42.00134950148983
South Doubletop,1175,3856,-74.52557382789553,42.02339402346914
Plateau,1169,3836,-74.17412107,42.1377735
Table,1166,3825,-74.40442220100309,41.95845894806379
Peekamoose,1164,3819,-74.3982398022493,41.952491305038556
Sugarloaf,1154,3784,-74.14993658181754,42.13137554789996
Wittenberg,1153,3782,-74.3469209428694,42.00835822525857
Southwest Hunter,1144,3755,-74.24366741,42.16233268
Balsam Lake,1137,3730,-74.59477886984256,42.045617265824546
Panther,1136,3726,-74.39405716269663,42.05640555288338
Lone,1128,3701,-74.38919683,41.96922717
Big Indian,1128,3700,-74.49663828,42.03507539
Friday,1125,3693,-74.36093491,41.98809639
Rusk,1124,3687,-74.27750846,42.2010019
Kaaterskill High Peak,1114,3654,-74.08023354,42.16226844
Twin,1112,3649,-74.12901184925255,42.12553559655125
Fir,1106,3630,-74.46902203,42.02772753
Balsam,1100,3608,-74.48817857055127,42.09091751866805
Balsam Cap,1100,3608,-74.35762239,41.97718282
North Dome,1099,3606,-74.349062,42.173713
Bearpen,1094,3588,-74.47456170920866,42.266596851337546
Eagle,1092,3583,-74.50750812,42.06167528
Indian Head,1089,3574,-74.11510553289784,42.11635076966226
Sherrill,1085,3560,-74.37280141,42.17550689
Vly,1077,3535,-74.44840342,42.24585715
Windham,1075,3526,-74.14354058286226,42.31481164066618
Halcott,1070,3511,-74.43746564,42.17982734
Rocky,1063,3487,-74.37284638,41.97238982
Roundtop,1056,3465,-74.0942447069878,42.168577807489996
